product,class,hour_distribution
Organic Cilantro,late, 0.0 0.0 0.0 1.3157894736842106 0.0 0.0 3.9473684210526314 3.9473684210526314 14.473684210526315 9.210526315789474 10.526315789473685 7.894736842105263 5.2631578947368425 2.6315789473684212 7.894736842105263 7.894736842105263 6.578947368421052 5.2631578947368425 6.578947368421052 1.3157894736842106 1.3157894736842106 1.3157894736842106 2.6315789473684212 0.0
Organic Whole String Cheese,late, 0.0 0.0 0.0 0.0 0.0 0.0 2.380952380952381 2.380952380952381 7.142857142857143 7.142857142857143 14.285714285714286 2.380952380952381 7.142857142857143 4.761904761904762 9.523809523809524 9.523809523809524 7.142857142857143 4.761904761904762 7.142857142857143 2.380952380952381 2.380952380952381 4.761904761904762 4.761904761904762 0.0
Spring Water,late, 0.0 0.0 0.0 0.0 0.0 0.0 3.5398230088495577 3.5398230088495577 8.849557522123893 12.389380530973451 4.424778761061947 5.3097345132743365 5.3097345132743365 7.079646017699115 10.619469026548673 8.849557522123893 15.929203539823009 7.079646017699115 2.6548672566371683 0.8849557522123894 1.7699115044247788 0.8849557522123894 0.8849557522123894 0.0
Organic Avocado,late, 0.0 0.0 0.0 0.6369426751592356 0.6369426751592356 1.910828025477707 0.6369426751592356 3.1847133757961785 10.19108280254777 10.19108280254777 7.006369426751593 8.9171974522293 9.554140127388536 10.19108280254777 9.554140127388536 7.006369426751593 4.45859872611465 4.45859872611465 3.821656050955414 2.5477707006369426 1.910828025477707 1.910828025477707 1.2738853503184713 0.0
Organic Raspberries,late, 0.0 0.0 0.0 0.0 0.0 0.0 1.7857142857142858 8.035714285714286 11.607142857142858 3.5714285714285716 5.357142857142857 5.357142857142857 6.25 5.357142857142857 8.928571428571429 11.607142857142858 7.142857142857143 7.142857142857143 6.25 7.142857142857143 1.7857142857142858 1.7857142857142858 0.8928571428571429 0.0
Organic Yellow Onion,late, 0.0 0.0 0.0 0.0 0.0 0.0 4.040404040404041 6.0606060606060606 12.121212121212121 2.0202020202020203 13.131313131313131 10.1010101010101 8.080808080808081 5.05050505050505 10.1010101010101 9.090909090909092 2.0202020202020203 5.05050505050505 5.05050505050505 3.0303030303030303 3.0303030303030303 1.0101010101010102 1.0101010101010102 0.0
Strawberries,late, 0.0 0.0 0.2358490566037736 0.0 0.4716981132075472 0.9433962264150944 4.009433962264151 5.89622641509434 10.377358490566039 8.018867924528301 7.547169811320755 8.49056603773585 7.783018867924528 5.89622641509434 9.19811320754717 9.19811320754717 6.60377358490566 4.245283018867925 2.830188679245283 3.30188679245283 1.650943396226415 2.1226415094339623 1.179245283018868 0.0
Organic Strawberries,late, 0.0 0.0 0.41841004184100417 0.0 0.0 0.8368200836820083 4.184100418410042 6.694560669456067 10.0418410041841 7.949790794979079 7.112970711297071 10.0418410041841 8.786610878661088 4.602510460251046 7.531380753138075 9.623430962343097 6.694560669456067 4.602510460251046 2.510460251046025 3.3472803347280333 1.6736401673640167 2.510460251046025 0.8368200836820083 0.0
Orchard Apple Liquid Water Enhancer,late, 0.0 0.0 0.0 0.0 0.0 0.0 0.0 5.882352941176471 8.823529411764707 11.764705882352942 8.823529411764707 8.823529411764707 2.9411764705882355 5.882352941176471 8.823529411764707 5.882352941176471 2.9411764705882355 5.882352941176471 8.823529411764707 2.9411764705882355 2.9411764705882355 5.882352941176471 2.9411764705882355 0.0
Carrots,late, 0.3389830508474576 0.0 0.0 0.0 0.0 0.6779661016949152 2.711864406779661 4.745762711864407 7.11864406779661 11.186440677966102 9.152542372881356 8.813559322033898 6.101694915254237 8.813559322033898 9.830508474576272 7.796610169491525 5.084745762711864 6.101694915254237 4.067796610169491 3.7288135593220337 0.6779661016949152 2.3728813559322033 0.6779661016949152 0.0
